 userid |   ddate    | tpos | lengthh 
    413 | 2014-02-16 |   67 |      16
    414 | 2014-02-14 |   57 |      16
    415 | 2014-02-15 |   56 |      15
    416 | 2014-02-12 |   36 |      13
    417 | 2014-02-09 |   10 |      13
    417 | 2014-02-12 |   45 |      13
    418 | 2014-02-10 |   15 |      11
    418 | 2014-02-12 |   35 |      11
    419 | 2014-02-13 |   41 |      16
    420 | 2014-02-16 |   83 |      13
    421 | 2014-02-16 |   65 |      13
    422 | 2014-02-11 |   33 |      15
    423 | 2014-02-15 |   54 |      16
    424 | 2014-02-17 |   78 |      19
    425 | 2014-02-13 |   40 |      17
    426 | 2014-02-11 |   27 |      13
    426 | 2014-02-14 |   63 |      13
    427 | 2014-02-13 |   39 |      13
    428 | 2014-02-14 |   53 |      14
    428 | 2014-02-12 |   27 |      14
    429 | 2014-02-09 |    5 |      17
    430 | 2014-02-14 |   65 |      15
    431 | 2014-02-17 |   79 |      13
    431 | 2014-02-14 |   48 |      13
    432 | 2014-02-13 |   39 |      12
    433 | 2014-02-10 |   10 |      13
    434 | 2014-02-10 |   15 |      15
    435 | 2014-02-15 |   63 |      15
    436 | 2014-02-13 |   50 |      16
    437 | 2014-02-14 |   60 |      16
    438 | 2014-02-13 |   46 |      15
    439 | 2014-02-16 |   64 |      15
    440 | 2014-02-15 |   50 |      15
    441 | 2014-02-13 |   47 |      18
    442 | 2014-02-13 |   45 |      14
    442 | 2014-02-15 |   72 |      14
    443 | 2014-02-12 |   33 |      17
    444 | 2014-02-15 |   55 |      14
    444 | 2014-02-09 |    3 |      14
    445 | 2014-02-17 |   68 |      12
    446 | 2014-02-14 |   54 |      14
    447 | 2014-02-10 |   17 |      11
    448 | 2014-02-13 |   34 |      12
    449 | 2014-02-09 |    7 |      15
    450 | 2014-02-11 |   22 |      17
    451 | 2014-02-15 |   61 |      19
    452 | 2014-02-16 |   73 |      15
    453 | 2014-02-11 |   35 |      15
    454 | 2014-02-13 |   43 |      14
    455 | 2014-02-09 |    5 |      17
    456 | 2014-02-17 |   85 |      17
    457 | 2014-02-12 |   22 |      14
    458 | 2014-02-15 |   75 |      14
    458 | 2014-02-09 |    7 |      14
    458 | 2014-02-17 |  100 |      14
    459 | 2014-02-15 |   75 |      13
    460 | 2014-02-17 |   78 |      15
    461 | 2014-02-16 |   66 |      14
    462 | 2014-02-09 |    9 |      12
    463 | 2014-02-09 |    9 |      15
    463 | 2014-02-12 |   40 |      15
    464 | 2014-02-09 |   11 |      16
    465 | 2014-02-13 |   43 |      15
    466 | 2014-02-17 |   86 |      16
    467 | 2014-02-15 |   52 |      16
    468 | 2014-02-11 |   20 |      14
    469 | 2014-02-11 |   25 |      15
    470 | 2014-02-15 |   50 |      13
    471 | 2014-02-12 |   29 |      13
    472 | 2014-02-15 |   66 |      17
    473 | 2014-02-11 |   25 |      16
    474 | 2014-02-12 |   27 |      17
    475 | 2014-02-11 |   16 |      13
    476 | 2014-02-12 |   34 |      16
    477 | 2014-02-14 |   51 |      14
    478 | 2014-02-15 |   78 |      14
    478 | 2014-02-09 |    8 |      14
    479 | 2014-02-16 |   78 |      15
    480 | 2014-02-12 |   27 |      14
    481 | 2014-02-15 |   55 |      15
    482 | 2014-02-09 |    7 |      13
    482 | 2014-02-11 |   27 |      13
    483 | 2014-02-17 |   92 |      15
    484 | 2014-02-16 |   69 |      15
    485 | 2014-02-10 |   13 |      14
    486 | 2014-02-12 |   30 |      12
    487 | 2014-02-13 |   40 |      15
    488 | 2014-02-16 |   77 |      16
    489 | 2014-02-15 |   56 |      16
    490 | 2014-02-17 |   85 |      15
    490 | 2014-02-11 |   33 |      15
    491 | 2014-02-15 |   57 |      15
    492 | 2014-02-15 |   59 |      15
    493 | 2014-02-10 |   21 |      17
    494 | 2014-02-13 |   50 |      16
    495 | 2014-02-15 |   62 |      16
    496 | 2014-02-13 |   43 |      14
    496 | 2014-02-15 |   69 |      14
    497 | 2014-02-16 |   68 |      14
    498 | 2014-02-16 |   76 |      14
    499 | 2014-02-10 |    9 |      12
    500 | 2014-02-15 |   52 |      12
    501 | 2014-02-13 |   44 |      15
    502 | 2014-02-11 |   30 |      15
    503 | 2014-02-12 |   26 |      13
    504 | 2014-02-15 |   60 |      15
    504 | 2014-02-10 |   10 |      15
    505 | 2014-02-11 |   16 |      13
    506 | 2014-02-14 |   55 |      12
    506 | 2014-02-10 |   17 |      12
    507 | 2014-02-13 |   54 |      15
    508 | 2014-02-17 |   72 |      14
    509 | 2014-02-12 |   42 |      16
    510 | 2014-02-14 |   56 |      15
    511 | 2014-02-15 |   63 |      14
    512 | 2014-02-12 |   29 |      13
    513 | 2014-02-11 |   22 |      14
    513 | 2014-02-14 |   56 |      14
    514 | 2014-02-13 |   37 |      14
    515 | 2014-02-14 |   43 |      12
    516 | 2014-02-15 |   75 |      18
    516 | 2014-02-13 |   46 |      18
    517 | 2014-02-16 |   71 |      17
    518 | 2014-02-10 |   16 |      16
    519 | 2014-02-11 |   25 |      14
    520 | 2014-02-09 |    6 |      13
    520 | 2014-02-11 |   28 |      13
    521 | 2014-02-15 |   52 |      15
    522 | 2014-02-10 |   12 |      16
    522 | 2014-02-13 |   45 |      16
    523 | 2014-02-16 |   81 |      15
    524 | 2014-02-16 |   65 |      18
    525 | 2014-02-10 |   20 |      16
    526 | 2014-02-15 |   68 |      12
    526 | 2014-02-12 |   37 |      12
    527 | 2014-02-15 |   58 |      12
    528 | 2014-02-10 |   19 |      15
    529 | 2014-02-13 |   41 |      11
    529 | 2014-02-12 |   30 |      11
    530 | 2014-02-09 |    4 |      14
    531 | 2014-02-16 |   71 |      14
    532 | 2014-02-14 |   52 |      15
    533 | 2014-02-10 |   15 |      14
    534 | 2014-02-12 |   43 |      16
    535 | 2014-02-13 |   44 |      12
    536 | 2014-02-13 |   40 |      16
    537 | 2014-02-15 |   85 |      17
    537 | 2014-02-11 |   31 |      17
    538 | 2014-02-16 |   65 |      15
    539 | 2014-02-17 |   79 |      13
    539 | 2014-02-10 |   17 |      13
    539 | 2014-02-09 |    4 |      13
    540 | 2014-02-10 |   10 |      13
    540 | 2014-02-15 |   61 |      13
    541 | 2014-02-13 |   44 |      15
    542 | 2014-02-10 |   19 |      16
    543 | 2014-02-14 |   61 |      16
    544 | 2014-02-15 |   56 |      15
    545 | 2014-02-09 |    9 |      17
    546 | 2014-02-08 |    0 |      12
    546 | 2014-02-13 |   42 |      12
    546 | 2014-02-10 |   18 |      12
    547 | 2014-02-14 |   53 |      12
    547 | 2014-02-09 |    5 |      12
    548 | 2014-02-16 |   70 |      14
    549 | 2014-02-15 |   64 |      15
    550 | 2014-02-11 |   22 |      15
    551 | 2014-02-14 |   55 |      16
    552 | 2014-02-16 |   68 |      19
    553 | 2014-02-13 |   39 |      14
    554 | 2014-02-13 |   45 |      15
    555 | 2014-02-15 |   61 |      14
    555 | 2014-02-16 |   75 |      14
    555 | 2014-02-11 |   19 |      14
    556 | 2014-02-09 |    9 |      12
    557 | 2014-02-10 |   16 |      14
    558 | 2014-02-12 |   27 |      11
    558 | 2014-02-14 |   48 |      11
    559 | 2014-02-15 |   65 |      15
    559 | 2014-02-09 |    8 |      15
    560 | 2014-02-12 |   34 |      15
    561 | 2014-02-14 |   50 |      15
    562 | 2014-02-13 |   37 |      13
    563 | 2014-02-14 |   49 |      15
    564 | 2014-02-12 |   46 |      15
    565 | 2014-02-17 |   98 |      13
    565 | 2014-02-11 |   31 |      13
    565 | 2014-02-16 |   85 |      13
    565 | 2014-02-09 |    7 |      13
    565 | 2014-02-14 |   63 |      13
    566 | 2014-02-13 |   55 |      14
    566 | 2014-02-11 |   30 |      14
    567 | 2014-02-14 |   65 |      15
    568 | 2014-02-09 |    4 |      13
