 userid |   ddate    | tpos | lengthh 
    291 | 2014-02-11 |   26 |      15
    291 | 2014-02-13 |   52 |      15
    292 | 2014-02-09 |    4 |      17
    293 | 2014-02-11 |   22 |      15
    294 | 2014-02-22 |  124 |      18
    295 | 2014-02-11 |   23 |      14
    295 | 2014-02-14 |   60 |      14
    296 | 2014-02-18 |   89 |      16
    297 | 2014-02-12 |   35 |      17
    298 | 2014-02-20 |  107 |      14
    299 | 2014-02-23 |  141 |      14
    300 | 2014-02-22 |  129 |      14
    301 | 2014-02-26 |  155 |      14
    302 | 2014-02-12 |   42 |      14
    303 | 2014-02-15 |   70 |      16
    303 | 2014-02-23 |  153 |      16
    304 | 2014-02-12 |   31 |      13
    304 | 2014-02-14 |   56 |      13
    305 | 2014-02-25 |  174 |      15
    305 | 2014-02-21 |  135 |      15
    306 | 2014-02-23 |  143 |      19
    307 | 2014-02-23 |  142 |      14
    307 | 2014-02-26 |  173 |      14
    308 | 2014-02-22 |  125 |      14
    309 | 2014-02-17 |   88 |      17
    309 | 2014-02-22 |  136 |      17
    310 | 2014-02-23 |  119 |      12
    310 | 2014-02-22 |  107 |      12
    311 | 2014-02-09 |   10 |      16
    312 | 2014-02-16 |   75 |      14
    313 | 2014-02-12 |   32 |      15
    314 | 2014-02-09 |    6 |      16
    315 | 2014-02-16 |   69 |      16
    316 | 2014-02-26 |  200 |      16
    316 | 2014-02-17 |   96 |      16
    316 | 2014-02-21 |  148 |      16
    317 | 2014-02-17 |   87 |      17
    318 | 2014-02-22 |  111 |      14
    319 | 2014-02-22 |  137 |      13
    320 | 2014-02-09 |    4 |      13
    320 | 2014-02-13 |   46 |      13
    321 | 2014-02-13 |   31 |      16
    322 | 2014-02-18 |   96 |      18
    323 | 2014-02-21 |  143 |      17
    324 | 2014-02-14 |   53 |      15
    325 | 2014-02-24 |  161 |      15
    325 | 2014-02-22 |  133 |      15
    326 | 2014-02-25 |  170 |      17
    327 | 2014-02-17 |   83 |      18
    328 | 2014-02-14 |   66 |      17
    329 | 2014-02-22 |  137 |      21
    330 | 2014-02-25 |  154 |      17
    331 | 2014-02-11 |   17 |      14
    332 | 2014-02-15 |   57 |      14
    333 | 2014-02-16 |   66 |      14
    334 | 2014-02-24 |  136 |      19
    335 | 2014-02-25 |  152 |      14
    335 | 2014-02-26 |  166 |      14
    336 | 2014-02-14 |   55 |      16
    337 | 2014-02-13 |   47 |      17
    338 | 2014-02-23 |  151 |      15
    338 | 2014-02-17 |   85 |      15
    338 | 2014-02-15 |   58 |      15
    339 | 2014-02-12 |   33 |      18
    340 | 2014-02-16 |   84 |      19
    341 | 2014-02-19 |  100 |      14
    342 | 2014-02-21 |  131 |      17
    343 | 2014-02-15 |   65 |      15
    344 | 2014-02-16 |   85 |      16
    345 | 2014-02-23 |  118 |      15
    346 | 2014-02-09 |    9 |      15
    347 | 2014-02-26 |  180 |      19
    348 | 2014-02-20 |  104 |      19
    349 | 2014-02-11 |   22 |      17
    350 | 2014-02-17 |   77 |      17
    351 | 2014-02-11 |   22 |      15
    352 | 2014-02-20 |  119 |      19
    353 | 2014-02-14 |   57 |      13
    354 | 2014-02-22 |  142 |      18
    355 | 2014-02-23 |  120 |      15
    356 | 2014-02-17 |   72 |      15
    357 | 2014-02-13 |   57 |      18
    357 | 2014-02-09 |    8 |      18
    358 | 2014-02-15 |   61 |      15
    358 | 2014-02-26 |  180 |      15
    359 | 2014-02-25 |  163 |      15
    360 | 2014-02-25 |  137 |      12
    361 | 2014-02-13 |   41 |      12
    362 | 2014-02-09 |    6 |      15
    362 | 2014-02-12 |   38 |      15
    363 | 2014-02-22 |  126 |      16
    364 | 2014-02-21 |  132 |      17
    365 | 2014-02-17 |   93 |      13
    365 | 2014-02-18 |  106 |      13
    365 | 2014-02-16 |   80 |      13
    365 | 2014-02-22 |  143 |      13
    366 | 2014-02-19 |  101 |      15
    367 | 2014-02-26 |  166 |      17
    368 | 2014-02-12 |   32 |      15
    368 | 2014-02-25 |  165 |      15
    369 | 2014-02-21 |  116 |      17
    370 | 2014-02-09 |    4 |      15
    371 | 2014-02-20 |  110 |      18
    372 | 2014-02-21 |  115 |      18
    373 | 2014-02-25 |  176 |      18
    374 | 2014-02-14 |   56 |      15
    375 | 2014-02-13 |   53 |      15
    376 | 2014-02-27 |  184 |      15
    377 | 2014-02-22 |  141 |      18
    378 | 2014-02-17 |   84 |      15
    379 | 2014-02-17 |   79 |      19
    380 | 2014-02-12 |   39 |      15
    381 | 2014-02-14 |   61 |      16
