 userid |   ddate    | tpos | lengthh 
    166 | 2014-02-16 |   71 |      14
    166 | 2014-02-17 |   85 |      14
    167 | 2014-02-10 |   15 |      15
    167 | 2014-02-17 |   91 |      15
    168 | 2014-02-12 |   35 |      16
    169 | 2014-02-09 |    4 |      15
    170 | 2014-02-17 |   78 |      14
    171 | 2014-02-10 |   10 |      13
    172 | 2014-02-10 |   20 |      14
    173 | 2014-02-10 |   17 |      16
    174 | 2014-02-09 |    8 |      13
    174 | 2014-02-12 |   40 |      13
    175 | 2014-02-11 |   24 |      16
    176 | 2014-02-15 |   49 |      12
    177 | 2014-02-12 |   46 |      16
    178 | 2014-02-09 |    3 |      13
    178 | 2014-02-10 |   16 |      13
    179 | 2014-02-15 |   70 |      13
    179 | 2014-02-17 |   93 |      13
    180 | 2014-02-11 |   22 |      15
    181 | 2014-02-12 |   27 |      12
    181 | 2014-02-17 |   72 |      12
    182 | 2014-02-16 |   67 |      11
    183 | 2014-02-10 |   15 |      13
    183 | 2014-02-14 |   56 |      13
    184 | 2014-02-11 |   22 |      14
    185 | 2014-02-15 |   53 |      17
    186 | 2014-02-11 |   31 |      16
    187 | 2014-02-10 |   18 |      11
    187 | 2014-02-11 |   29 |      11
    187 | 2014-02-12 |   40 |      11
    188 | 2014-02-12 |   34 |      17
    189 | 2014-02-12 |   36 |      18
    190 | 2014-02-16 |   59 |      12
    191 | 2014-02-11 |   14 |      12
    191 | 2014-02-14 |   46 |      12
    191 | 2014-02-15 |   58 |      12
    192 | 2014-02-12 |   29 |      14
    193 | 2014-02-09 |    3 |      16
    194 | 2014-02-12 |   26 |      16
    195 | 2014-02-14 |   52 |      13
    195 | 2014-02-16 |   76 |      13
    195 | 2014-02-17 |   89 |      13
    196 | 2014-02-15 |   75 |      16
    197 | 2014-02-14 |   58 |      16
    198 | 2014-02-14 |   59 |      17
    199 | 2014-02-17 |   92 |      17
    200 | 2014-02-16 |   68 |      13
    201 | 2014-02-17 |   81 |      15
    202 | 2014-02-12 |   33 |      16
    203 | 2014-02-17 |   87 |      15
    204 | 2014-02-13 |   43 |      16
    205 | 2014-02-16 |   76 |      13
    206 | 2014-02-16 |   65 |      17
    207 | 2014-02-09 |    8 |      15
    208 | 2014-02-14 |   55 |      13
    208 | 2014-02-15 |   68 |      13
    209 | 2014-02-12 |   40 |      13
    210 | 2014-02-10 |   18 |      15
    211 | 2014-02-13 |   46 |      14
    211 | 2014-02-14 |   60 |      14
    212 | 2014-02-10 |   15 |      12
    213 | 2014-02-11 |   32 |      14
    214 | 2014-02-15 |   68 |      15
    215 | 2014-02-10 |   12 |      21
    216 | 2014-02-12 |   26 |      10
    216 | 2014-02-13 |   36 |      10
    216 | 2014-02-14 |   46 |      10
    217 | 2014-02-10 |   12 |      16
    218 | 2014-02-13 |   46 |      15
    218 | 2014-02-15 |   75 |      15
    219 | 2014-02-09 |    7 |      15
    220 | 2014-02-11 |   22 |      17
    220 | 2014-02-15 |   69 |      17
    221 | 2014-02-14 |   44 |      15
    222 | 2014-02-16 |   80 |      17
    223 | 2014-02-09 |    8 |      15
    224 | 2014-02-11 |   24 |      13
    225 | 2014-02-15 |   52 |      12
    226 | 2014-02-16 |   75 |      15
    227 | 2014-02-11 |   23 |      15
    227 | 2014-02-17 |   93 |      15
    228 | 2014-02-10 |   13 |      15
    229 | 2014-02-13 |   50 |      16
    230 | 2014-02-13 |   45 |      14
    231 | 2014-02-15 |   51 |      21
    232 | 2014-02-10 |   20 |      16
    232 | 2014-02-17 |   94 |      16
    233 | 2014-02-16 |   79 |      15
    234 | 2014-02-15 |   49 |      11
    234 | 2014-02-16 |   60 |      11
    234 | 2014-02-17 |   71 |      11
    235 | 2014-02-15 |   52 |      11
    236 | 2014-02-13 |   44 |      15
    237 | 2014-02-16 |   86 |      17
    238 | 2014-02-15 |   62 |      15
    239 | 2014-02-11 |   28 |      15
    240 | 2014-02-13 |   41 |      13
    241 | 2014-02-13 |   35 |      16
    242 | 2014-02-11 |   26 |      11
    242 | 2014-02-12 |   37 |      11
    242 | 2014-02-13 |   48 |      11
    243 | 2014-02-14 |   55 |      17
    244 | 2014-02-10 |   11 |      14
    245 | 2014-02-13 |   46 |      13
    246 | 2014-02-10 |   14 |      16
    246 | 2014-02-12 |   39 |      16
    247 | 2014-02-14 |   62 |      15
    248 | 2014-02-10 |   14 |      15
    248 | 2014-02-12 |   39 |      15
    249 | 2014-02-15 |   67 |      13
    250 | 2014-02-13 |   39 |      11
    250 | 2014-02-14 |   50 |      11
    251 | 2014-02-13 |   34 |      12
    251 | 2014-02-16 |   65 |      12
    252 | 2014-02-11 |   32 |      15
    253 | 2014-02-15 |   64 |      20
    254 | 2014-02-13 |   40 |      14
    254 | 2014-02-16 |   71 |      14
    255 | 2014-02-09 |    8 |      16
    256 | 2014-02-11 |   28 |      14
    256 | 2014-02-16 |   86 |      14
    257 | 2014-02-17 |   76 |      14
    258 | 2014-02-13 |   51 |      17
    259 | 2014-02-13 |   39 |      12
    260 | 2014-02-10 |   20 |      19
    261 | 2014-02-13 |   43 |      16
    262 | 2014-02-10 |   13 |      12
    263 | 2014-02-14 |   49 |      15
    263 | 2014-02-16 |   70 |      15
    264 | 2014-02-10 |   15 |      11
    265 | 2014-02-11 |   20 |      12
    266 | 2014-02-11 |   32 |      14
    267 | 2014-02-13 |   43 |      15
    268 | 2014-02-14 |   55 |      16
    269 | 2014-02-13 |   32 |      14
    269 | 2014-02-14 |   46 |      14
    270 | 2014-02-17 |   80 |      15
    271 | 2014-02-09 |    8 |      13
    272 | 2014-02-11 |   21 |      14
    273 | 2014-02-09 |    6 |      13
    273 | 2014-02-15 |   74 |      13
    273 | 2014-02-17 |   95 |      13
    274 | 2014-02-10 |   18 |      15
    275 | 2014-02-11 |   25 |      13
    276 | 2014-02-15 |   49 |      17
    277 | 2014-02-16 |   70 |      15
    278 | 2014-02-10 |   16 |      12
    278 | 2014-02-12 |   37 |      12
    278 | 2014-02-13 |   49 |      12
    278 | 2014-02-14 |   61 |      12
    279 | 2014-02-16 |   80 |      18
    280 | 2014-02-09 |    5 |      13
    280 | 2014-02-12 |   39 |      13
    281 | 2014-02-12 |   25 |      19
    282 | 2014-02-11 |   19 |      11
    282 | 2014-02-12 |   30 |      11
    283 | 2014-02-14 |   47 |      15
    284 | 2014-02-15 |   60 |      13
    285 | 2014-02-17 |   65 |      11
    286 | 2014-02-13 |   36 |      14
    287 | 2014-02-09 |    7 |      14
    287 | 2014-02-15 |   66 |      14
    288 | 2014-02-11 |   26 |      18
    289 | 2014-02-11 |   22 |      16
    289 | 2014-02-17 |   84 |      16
    290 | 2014-02-11 |   22 |      13
    291 | 2014-02-09 |    5 |      12
    291 | 2014-02-10 |   17 |      12
    291 | 2014-02-16 |   75 |      12
    292 | 2014-02-11 |   32 |      18
    293 | 2014-02-11 |   13 |      20
    294 | 2014-02-16 |   80 |      18
    295 | 2014-02-10 |   16 |      20
    296 | 2014-02-17 |   80 |      17
    297 | 2014-02-17 |   76 |      16
    298 | 2014-02-13 |   29 |      13
    298 | 2014-02-15 |   53 |      13
    299 | 2014-02-10 |   20 |      13
    300 | 2014-02-11 |   23 |      15
    300 | 2014-02-17 |   93 |      15
    301 | 2014-02-11 |   24 |      17
    302 | 2014-02-09 |    5 |      16
    303 | 2014-02-16 |   73 |      17
    304 | 2014-02-17 |   69 |      15
    305 | 2014-02-14 |   47 |      16
    306 | 2014-02-15 |   63 |      14
    307 | 2014-02-14 |   50 |      15
    308 | 2014-02-16 |   74 |      16
    309 | 2014-02-16 |   79 |      15
    310 | 2014-02-11 |   22 |      12
    311 | 2014-02-09 |    6 |      17
    312 | 2014-02-11 |   25 |      14
    312 | 2014-02-12 |   39 |      14
    313 | 2014-02-15 |   45 |      13
    314 | 2014-02-16 |   69 |      12
    315 | 2014-02-17 |   81 |      17
    316 | 2014-02-15 |   55 |      12
    317 | 2014-02-16 |   87 |      15
    318 | 2014-02-09 |    5 |      16
    319 | 2014-02-09 |    5 |      16
    320 | 2014-02-12 |   35 |      13
    320 | 2014-02-13 |   48 |      13
    321 | 2014-02-12 |   33 |      13
