 userid |   ddate    | tpos | lengthh 
    181 | 2014-02-11 |   28 |      15
    182 | 2014-02-16 |   71 |      17
    183 | 2014-02-24 |  155 |      17
    184 | 2014-02-24 |  172 |      20
    185 | 2014-02-20 |  101 |      19
    186 | 2014-02-17 |   94 |      21
    187 | 2014-02-23 |  158 |      15
    188 | 2014-02-24 |  151 |      16
    189 | 2014-02-16 |   75 |      13
    189 | 2014-02-15 |   62 |      13
    190 | 2014-02-27 |  190 |      16
    191 | 2014-02-18 |   83 |      19
    192 | 2014-02-19 |  106 |      15
    193 | 2014-02-12 |   31 |      17
    194 | 2014-02-17 |   71 |      15
    195 | 2014-02-09 |    5 |      19
    196 | 2014-02-22 |  129 |      14
    196 | 2014-02-20 |  106 |      14
    197 | 2014-02-14 |   47 |      16
    198 | 2014-02-10 |   13 |      18
    199 | 2014-02-17 |   82 |      18
    200 | 2014-02-25 |  185 |      16
    200 | 2014-02-19 |  122 |      16
    201 | 2014-02-27 |  178 |      18
    202 | 2014-02-11 |   25 |      16
    203 | 2014-02-22 |  141 |      19
    204 | 2014-02-09 |    2 |      14
    204 | 2014-02-21 |  113 |      14
    205 | 2014-02-26 |  198 |      22
    206 | 2014-02-13 |   45 |      15
    207 | 2014-02-23 |  136 |      15
    208 | 2014-02-24 |  179 |      15
    208 | 2014-02-16 |   82 |      15
    208 | 2014-02-17 |   97 |      15
    209 | 2014-02-21 |  107 |      13
    209 | 2014-02-17 |   69 |      13
    210 | 2014-02-13 |   47 |      16
    210 | 2014-02-24 |  154 |      16
    210 | 2014-02-14 |   63 |      16
    211 | 2014-02-17 |   83 |      18
    212 | 2014-02-20 |  119 |      15
    212 | 2014-02-17 |   86 |      15
    213 | 2014-02-27 |  172 |      19
    214 | 2014-02-24 |  160 |      16
    215 | 2014-02-10 |   21 |      15
    216 | 2014-02-17 |   79 |      17
    217 | 2014-02-11 |   20 |      17
    218 | 2014-02-14 |   59 |      18
    219 | 2014-02-17 |   85 |      15
    220 | 2014-02-10 |   19 |      15
    221 | 2014-02-12 |   27 |      16
    221 | 2014-02-21 |  112 |      16
    222 | 2014-02-14 |   52 |      13
    222 | 2014-02-26 |  159 |      13
    223 | 2014-02-13 |   50 |      18
    223 | 2014-02-20 |  126 |      18
    224 | 2014-02-18 |   91 |      17
    225 | 2014-02-12 |   35 |      14
    225 | 2014-02-19 |  115 |      14
    225 | 2014-02-15 |   70 |      14
    226 | 2014-02-14 |   69 |      17
    227 | 2014-02-27 |  180 |      17
    228 | 2014-02-20 |  108 |      13
    228 | 2014-02-24 |  146 |      13
    229 | 2014-02-27 |  185 |      19
    230 | 2014-02-18 |   82 |      16
    231 | 2014-02-23 |  159 |      18
    232 | 2014-02-23 |  138 |      14
    233 | 2014-02-26 |  163 |      17
    234 | 2014-02-16 |   59 |      16
    234 | 2014-02-24 |  158 |      16
    235 | 2014-02-19 |   89 |      15
    236 | 2014-02-15 |   61 |      16
    237 | 2014-02-20 |  132 |      17
    238 | 2014-02-27 |  192 |      15
    238 | 2014-02-17 |   88 |      15
    239 | 2014-02-19 |  110 |      17
    240 | 2014-02-17 |   94 |      17
    241 | 2014-02-21 |  112 |      17
    242 | 2014-02-18 |  100 |      16
    243 | 2014-02-19 |   99 |      17
    244 | 2014-02-12 |   34 |      17
    245 | 2014-02-15 |   66 |      19
    246 | 2014-02-11 |   22 |      17
    247 | 2014-02-20 |  111 |      15
    248 | 2014-02-14 |   57 |      16
    249 | 2014-02-26 |  165 |      14
    250 | 2014-02-15 |   64 |      14
